route_name,ref_number,highway_type,distance_km,distance_category,quality_score,corridor_relevance,eHDT_suitability,is_major_highway,state_classification,key_waypoints,start_lat,start_lon,end_lat,end_lon,lanes,maxspeed,surface,toll,access,hdt_classification,hdt_suitable,hdt_priority,speed_limit_hdt,major_route,route_description,num_segments,consolidated,original_segments,estimated_hours,estimated_fuel_liters,route_id
Budigere Road,SH104A,primary,2.52,Short (<100km),66.05,0.8423,Good,True,TN_to_KA,Bengaluru → Electronic City,13.0478,77.7494,13.0641,77.7391,2.0,,asphalt,,,state_highway,True,medium,60,,"State Highways (SH), HDT accessible",3,True,3,0.04,0.4,151
Bengaluru - Mysuru Road,NH275,primary,2.49,Short (<100km),63.24,0.7935,Good,True,TN_to_KA,BENGALURU → BANGALORE,12.8204,77.41,12.8213,77.4103,2.0,60.0,asphalt,,,state_highway,True,medium,60,,"State Highways (SH), HDT accessible",6,True,6,0.04,0.4,152
Vandavasi Bypass Road,SHU185,primary,2.15,Short (<100km),57.65,0.5079,Good,True,Within_TN,Industrial corridor route,12.5189,79.5876,12.5108,79.5859,2.0,,asphalt,,,state_highway,True,medium,60,,"State Highways (SH), HDT accessible",5,True,5,0.04,0.4,153
Vellore Old Bypass Road,SH230,primary,2.03,Short (<100km),56.14,0.4455,Good,True,Within_TN,VELLORE,12.9295,79.1341,12.9241,79.1271,,,asphalt,,,state_highway,True,medium,60,,"State Highways (SH), HDT accessible",2,True,2,0.03,0.3,154
Chennai - Trichy - Dindugal Road (Old NH45),SHU7,primary,1.8,Short (<100km),59.29,0.5717,Good,True,Within_TN,CHENNAI,12.5174,79.891,12.5061,79.8802,,,,,,state_highway,True,medium,60,,"State Highways (SH), HDT accessible",1,True,1,0.03,0.3,155
Old Palar Road,SHU82,primary,1.75,Short (<100km),56.15,0.4466,Good,True,Within_TN,Vellore → Ranipet,12.9414,79.135,12.9456,79.137,,,,,,state_highway,True,medium,60,,"State Highways (SH), HDT accessible",5,True,5,0.03,0.3,156
Chennai - Chittoor - Bangalore Road (Old NH4),SHU143,primary,1.69,Short (<100km),56.96,0.4788,Good,True,Within_TN,"CHENNAI, BANGALORE, CHITTOOR",12.9858,79.2713,12.9859,79.272,,,,,,state_highway,True,medium,60,,"State Highways (SH), HDT accessible",3,True,3,0.03,0.3,157
Jawaharlal Nehru Road (100 Feet Road),IRR,primary,1.48,Short (<100km),68.18,0.9275,Good,True,Within_TN,Chennai → Sriperumbudur,13.083,80.1986,13.0825,80.1986,,,asphalt,,,state_highway,True,medium,60,,"State Highways (SH), HDT accessible",9,True,9,0.02,0.2,158
Krishnagiri - Ranipet Road (Old NH46),SHU23,primary,1.33,Short (<100km),58.54,0.5419,Good,True,TN_to_KA,"KRISHNAGIRI, RANIPET",12.5196,78.2221,12.5195,78.2225,,,asphalt,,,state_highway,True,medium,60,,"State Highways (SH), HDT accessible",5,True,5,0.02,0.2,159
Varanasi - Kanniyakumari Road (Old NH7),SHU57,primary,1.13,Short (<100km),60.98,0.6408,Good,True,TN_to_KA,Hosur → Krishnagiri,12.6647,78.0055,12.6648,78.006,2.0,40.0,asphalt,,yes,state_highway,True,medium,60,,"State Highways (SH), HDT accessible",5,True,5,0.02,0.2,160
Muthuswamy Road,NH4,primary,0.91,Short (<100km),69.69,0.9882,Good,True,Within_TN,Chennai,13.0824,80.2817,13.085,80.2837,,,,,,state_highway,True,medium,60,,"State Highways (SH), HDT accessible",3,True,3,0.02,0.2,161
